eprof:total_analyse().
FUNCTION                                       CALLS      TIME 
regexp:parse/1                                 10019      0 % 
string:substr/3                                8760       0 % 
ws1:worker/3                                   1999       0 % 
string:to_upper_char/1                         15984      0 % 
http:http_options/2                            5994       0 % 
regexp:reg4/1                                  10019      0 % 
mnesia_lib:search_key/2                        5997       0 % 
io:format/2                                    5997       0 % 
io:default_output/0                            5997       0 % 
http_uri:parse_uri_rest/2                      1998       0 % 
io:o_request/2                                 5997       0 % 
mnesia:fun_select/10                           1999       0 % 
re:process_parameters/5                        7848       0 % 
http:validate_headers/3                        5994       0 % 
regexp:reg/1                                   10019      0 % 
dets:init_chunk_match/4                        1999       0 % 
ws1:get_urls/3                                 1962       0 % 
mnesia:do_fixtable/2                           1999       0 % 
regexp:reg2p/2                                 10019      0 % 
regexp:reg3p/2                                 10019      0 % 
regexp:reg1p/2                                 10019      0 % 
http:handle_answer/3                           1998       0 % 
string:to_lower_char/1                         8012       0 % 
re:do_grun/5                                   1962       0 % 
http_uri:parse_host_port/2                     1998       0 % 
http_uri:parse_scheme/1                        1998       0 % 
mnesia_lib:storage_type_at_node/2              1999       0 % 
gen:wait_resp_mon/3                            1998       0 % 
http_uri:parse/1                               1998       0 % 
mnesia:select/6                                1999       0 % 
ws1:get_job/0                                  1999       0 % 
gen:do_call/4                                  1998       0 % 
http:return_answer/2                           1962       0 % 
io:format/3                                    5997       0 % 
http_uri:parse_path_query/1                    1998       0 % 
erlang:group_leader/0                          5997       0 % 
io:io_request/2                                5997       0 % 
lists:member/2                                 5997       0 % 
http:request/5                                 1998       0 % 
re:grun/3                                      1962       0 % 
mnesia:select_lock/5                           1999       0 % 
dets:compile_match_spec/2                      1999       0 % 
re:postprocess/5                               1962       0 % 
regexp:re_apply_more/3                         4380       0 % 
mnesia:is_dollar_digits/1                      1999       0 % 
mnesia:select_state/2                          1999       0 % 
gen:call/4                                     1998       0 % 
http_util:to_upper/1                           1998       0 % 
dets:select/3                                  1999       0 % 
http:headers_as_is/2                           1998       0 % 
mnesia_tm:fixtable/3                           1999       0 % 
gen_server:call/3                              1998       0 % 
mnesia:is_digits/1                             3998       0 % 
re:grun2/3                                     1962       0 % 
erlang:list_to_atom/1                          1998       0 % 
http:format_body/2                             1962       0 % 
gen_server:rec_nodes/7                         656        0 % 
httpc_manager:call/3                           1998       0 % 
ets:match_spec_compile/1                       1999       0 % 
mnesia:select/4                                1999       0 % 
string:to_upper/1                              1998       0 % 
mnesia:has_var/1                               1999       0 % 
mnesia_lib:db_select_init/4                    1999       0 % 
mnesia_locker:wlock_table/3                    1999       0 % 
regexp:escape_char/1                           2027       0 % 
mnesia:'-select/6-fun-0-'/5                    1999       0 % 
mnesia:dirty_sel_init/5                        1999       0 % 
http:header_record/4                           1998       0 % 
httpc_manager:request/2                        1998       0 % 
http_uri:default_port/1                        1998       0 % 
string:to_lower/1                              1998       0 % 
mnesia:lock_table/4                            1999       0 % 
http_util:to_lower/1                           1998       0 % 
http_uri:path/1                                1998       0 % 
ws1:'-worker/3-fun-0-'/0                       1999       0 % 
erlang:atom_to_list/1                          1999       0 % 
erlang:binary_to_list/1                        1998       0 % 
http:request/4                                 1998       0 % 
erlang:list_to_binary/1                        1962       0 % 
http:profile_name/1                            1998       0 % 
http_uri:int_port/1                            1998       0 % 
re:check_for_unicode/2                         1962       0 % 
mnesia_dumper:adjust_log_writes/1              164        0 % 
gen_server:send_nodes/5                        656        0 % 
gen_server:do_multi_call/4                     328        0 % 
gen_server:start_monitor/2                     328        0 % 
gen_server:unmonitor/1                         328        0 % 
global:set_lock_on_nodes/2                     164        0 % 
global:del_lock/2                              164        0 % 
mnesia_lib:set_counter/2                       164        0 % 
global:set_lock/4                              164        0 % 
gen_server:rec_nodes/4                         328        0 % 
mnesia_lib:read_counter/1                      164        0 % 
mnesia_monitor:get_env/1                       164        0 % 
gen_server:multi_call/3                        328        0 % 
gen_server:send_nodes/4                        328        0 % 
erlang:cancel_timer/1                          328        0 % 
global:check_replies/3                         328        0 % 
mnesia_controller:async_dump_log/1             164        0 % 
global:set_lock/3                              164        0 % 
global:local_lock_check/2                      164        0 % 
erlang:list_to_integer/1                       1          0 % 

Total time: 974.82
Measurement overhead: 166.70
